0,config,m,loss,TP,TN,FP,FN,accuracy,F1,MMC
ProbitRegression,{'alpha': 1.1},12,11.0,24.0,55.0,3.0,8.0,0.8777777777777778,0.8135593220338984,0.729396808625797
LogisticRegression,{'alpha': 0.1},12,11.0,24.0,55.0,3.0,8.0,0.8777777777777778,0.8135593220338984,0.729396808625797
LinearRegression,{'alpha': 0},12,11.0,25.0,54.0,4.0,7.0,0.8777777777777778,0.819672131147541,0.7295894623762434
NaiveBayes,{'prior': 0.5},12,12.0,26.0,52.0,6.0,6.0,0.8666666666666667,0.8125,0.709051724137931
NaiveBayes,{'prior': 0.5},11,13.0,26.0,51.0,7.0,6.0,0.8555555555555555,0.8,0.6871976093991934
ProbitRegression,{'alpha': 2.1},11,13.0,23.0,54.0,4.0,9.0,0.8555555555555555,0.7796610169491526,0.6787442524712278
LogisticRegression,{'alpha': 1.1},11,13.0,23.0,54.0,4.0,9.0,0.8555555555555555,0.7796610169491526,0.6787442524712278
LinearRegression,{'alpha': 0},11,13.0,24.0,53.0,5.0,8.0,0.8555555555555555,0.7868852459016393,0.6799199830919304
SVM,"{'alpha': 1.1, 'kernel': 'linear', 'shrinking': True}",12,15.0,20.0,55.0,3.0,12.0,0.8333333333333334,0.7272727272727273,0.6291458303301315
NaiveBayes,{'prior': 0.5},10,15.0,24.0,51.0,7.0,8.0,0.8333333333333334,0.7619047619047619,0.6339383192795401
NaiveBayes,{'prior': 0.5},8,16.0,25.0,49.0,9.0,7.0,0.8222222222222222,0.7575757575757576,0.6181354771025025
NaiveBayes,{'prior': 0.5},9,16.0,24.0,50.0,8.0,8.0,0.8222222222222222,0.75,0.6120689655172413
SVM,"{'alpha': 1.1, 'kernel': 'linear', 'shrinking': False}",7,16.0,19.0,55.0,3.0,13.0,0.8222222222222222,0.7037037037037037,0.6037306131348783
NaiveBayes,{'prior': 0.5},7,16.0,25.0,49.0,9.0,7.0,0.8222222222222222,0.7575757575757576,0.6181354771025025
ProbitRegression,{'alpha': 1.1},8,17.0,20.0,53.0,5.0,12.0,0.8111111111111111,0.7017543859649122,0.5758167996310984
LogisticRegression,{'alpha': 0.1},8,17.0,20.0,53.0,5.0,12.0,0.8111111111111111,0.7017543859649122,0.5758167996310984
LinearRegression,{'alpha': 0},9,17.0,20.0,53.0,5.0,12.0,0.8111111111111111,0.7017543859649122,0.5758167996310984
LogisticRegression,{'alpha': 3.1},9,17.0,20.0,53.0,5.0,12.0,0.8111111111111111,0.7017543859649122,0.5758167996310984
ProbitRegression,{'alpha': 1.1},9,17.0,20.0,53.0,5.0,12.0,0.8111111111111111,0.7017543859649122,0.5758167996310984
LogisticRegression,{'alpha': 1.1},10,17.0,19.0,54.0,4.0,13.0,0.8111111111111111,0.6909090909090909,0.5759286078398008
LinearRegression,{'alpha': 0},10,17.0,19.0,54.0,4.0,13.0,0.8111111111111111,0.6909090909090909,0.5759286078398008
SVM,"{'alpha': 1.1, 'kernel': 'sigmoid', 'shrinking': True}",8,18.0,18.0,54.0,4.0,14.0,0.8,0.6666666666666666,0.5497189280631696
LinearRegression,{'alpha': 0},7,18.0,18.0,54.0,4.0,14.0,0.8,0.6666666666666666,0.5497189280631696
SVM,"{'alpha': 1.1, 'kernel': 'linear', 'shrinking': False}",10,18.0,17.0,55.0,3.0,15.0,0.8,0.6538461538461539,0.5521244795213299
SVM,"{'alpha': 1.1, 'kernel': 'poly', 'shrinking': True}",9,18.0,18.0,54.0,4.0,14.0,0.8,0.6666666666666666,0.5497189280631696
LinearRegression,{'alpha': 0},8,18.0,19.0,53.0,5.0,13.0,0.8,0.6785714285714286,0.549394526375432
ProbitRegression,{'alpha': 8.1},7,19.0,17.0,54.0,4.0,15.0,0.7888888888888889,0.6415094339622641,0.5231956315565391
LogisticRegression,{'alpha': 7.1},7,19.0,17.0,54.0,4.0,15.0,0.7888888888888889,0.6415094339622641,0.5231956315565391
SVM,"{'alpha': 0.1, 'kernel': 'linear', 'shrinking': False}",11,19.0,22.0,49.0,9.0,10.0,0.7888888888888889,0.6984126984126984,0.5362423454179671
RandomForest,{'depth': 4},7,22.0,12.0,56.0,2.0,20.0,0.7555555555555555,0.5217391304347826,0.44973561213149393
RandomForest,{'depth': 4},11,22.0,11.0,57.0,1.0,21.0,0.7555555555555555,0.5,0.45977538196032625
RandomForest,{'depth': 4},9,23.0,11.0,56.0,2.0,21.0,0.7444444444444445,0.4888888888888889,0.4211200001154385
